"Event Flags 1
(hex)","Event Flags 2
(hex)","Event Flags 3
(hex)","Event Flags 4
(hex)","Event Flags 1
(dec)","Event Flags 2
(dec)","Event Flags 3
(dec)","Event Flags 4
(dec)",State Codes,Error Class,Name
0,40,0,0,0,64,0,0,558,Incompatible or old software,SOFTWARE_ISSUE
0,80,0,0,0,128,0,0,517,Power Derating Due To Overtemperature,POWER_DERATING
0,100,0,0,0,256,0,0,,Jumper set incorrectly,JUMPER_INCORRECT
0,200,0,0,0,512,0,0,,Incompatible feature,INCOMPATIBLE_FEATURE
0,400,0,0,0,1024,0,0,,Defective ventilator/air vents blocked,VENTS_BLOCKED
0,800,0,0,0,2048,0,0,560,Power reduction on error,POWER_REDUCTION_ERROR
0,1000,0,0,0,4096,0,0,240,Arc Detected,ARC_DETECTED
0,2000,0,0,0,8192,0,0,245,AFCI Self Test Failed,AFCI_SELF_TEST_FAILED
0,4000,0,0,0,16384,0,0,247,Current Sensor Error,CURRENT_SENSOR_ERROR
0,8000,0,0,0,32768,0,0,,DC switch fault,DC_SWITCH_FAULT
0,10000,0,0,0,65536,0,0,249,AFCI Defective,AFCI_DEFECTIVE
0,20000,0,0,0,131072,0,0,,AFCI Manual Test Successful,AFCI_MANUAL_TEST_OK
0,40000,0,0,0,262144,0,0,476,Power Stack Supply Missing,PS_PWR_SUPPLY_ISSUE
0,80000,0,0,0,524288,0,0,,AFCI Communication Stopped,AFCI_NO_COMM
0,100000,0,0,0,1048576,0,0,,AFCI Manual Test Failed,AFCI_MANUAL_TEST_FAILED
0,200000,0,0,0,2097152,0,0,463,AC polarity reversed,AC_POLARITY_REVERSED
0,400000,0,0,0,4194304,0,0,,AC measurement device fault,FAULTY_AC_DEVICE
0,800000,0,0,0,8388608,0,0,,Flash fault,FLASH_FAULT
0,1000000,0,0,0,16777216,0,0,,General error,GENERAL_ERROR
0,2000000,0,0,0,33554432,0,0,,Grounding fault,GROUNDING_ISSUE
0,4000000,0,0,0,67108864,0,0,766,Power limitation fault,LIMITATION_FAULT
0,8000000,0,0,0,134217728,0,0,,External NO contact open,OPEN_CONTACT
0,10000000,0,0,0,268435456,0,0,,External overvoltage protection has tripped,OVERVOLTAGE_PROTECTION
0,20000000,0,0,0,536870912,0,0,,Internal processor program status,PROGRAM_STATUS
0,40000000,0,0,0,1073741824,0,0,705,SolarNet issue,SOLARNET_ISSUE
0,80000000,0,0,0,2147483648,0,0,,Supply voltage fault,SUPPLY_VOLTAGE_FAULT
0,0,1,0,0,0,1,0,751;752;757;758,Time error,TIME_FAULT
0,0,2,0,0,0,2,0,731;732;733;734;735;736;738;743;745,USB error,USB_FAULT
0,0,4,0,0,0,4,0,309;313,DC high,DC_HIGH
0,0,8,0,0,0,8,0,482,Init error,INIT_ERROR
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
